dataset_name,exact_path,version_hash,domain,task_type,available_splits,usable_family_count,current_builder,current_scorer,license_status,possible_role,known_quality_risks
gsm8k_parsed_cache,/Users/bytedance/atomic-repair-sft/data_v4/gsm8k_cache.json,a7214065ebfa9109,reasoning,math word problem (numeric final answer + <<calc>> step annotations),train/test,train 7377 + test 1300 (raw HF openai/gsm8k 7473/1319; 96+19 dropped as unparsable),gsm_repair_v4/gsm_world.py (load_gsm; HF openai/gsm8k main),gsm_repair_v4/evaluate_gsm.py + prescription/lawv1_score.py,MIT (openai/gsm8k),component_training + clean_replay (train) / in_domain_eval (test),cache file is gitignored (data_v4/gsm8k_cache.json in .gitignore) so not versioned in git; 115 items silently dropped by parser; families heavily reused by historical arms - any new use must go through the frozen lawv1 partition (format 2000 / carrier 2000 / reserved_queueD 2817)
gsm8k_raw_hf,~/.cache/huggingface/hub/datasets--openai--gsm8k,ea82612ea9582142,reasoning,math word problem,train/test,7473/1319,HF datasets loader,n/a (raw),MIT (openai/gsm8k),component_training (source of record),raw source of gsm8k_parsed_cache; snapshot 740312ad
svamp_raw_hf,~/.cache/huggingface/hub/datasets--ChilleD--SVAMP,c910f362fb2e8636,reasoning,elementary math word problem (numeric),train/test,train 700 / test 300 (builder keeps positive-integer golds only; violations dropped and counted),svamp/build_svamp.py load_svamp,svamp/build_svamp.py score (numeric contains-free strict),MIT (SVAMP; ChilleD/SVAMP mirror),cross_dataset_holdout (Reasoning; C-26 forbids calling it a second domain),small (300 test); gold filter drops non-positive-int answers; question_concat field is Body+Question concatenation
svamp_cell_g3,/Users/bytedance/atomic-repair-sft/svamp/data,2522620b6a518233 (probes.jsonl),reasoning,probe suite O/W2/F + repair-genre eval + 4 SFT arms,probes 900 / repair_eval 300 / arms 4x600 / preds+scores,900 probe rows (300 base items) + 300 repair + 600 per arm,svamp/build_svamp.py (build/genp/probes),svamp/build_svamp.py score -> scores_svamp.json,MIT (derived from SVAMP),cross_dataset_holdout eval instrument,miniature probe subset (P slots need server genp; only O/W2/F deterministic); arms g3_* were TRAINED on SVAMP train - if SVAMP is frozen as pure holdout those ckpts/arms become archive; carrier only 600 replay
gsm_repair_v4_main,/Users/bytedance/atomic-repair-sft/data_v4,1f9ee5f937db6ac4 (repair_train.jsonl),reasoning,answer-update policy repair (7 policies; keep/update decision + repair trace),repair_train 3000 / repair_eval 480 / cot 3000+480 / actionized 3000+480 / format_scaffold 200 / transfer_eval 300 / e1+e1b dose subsets,3000 train families (policy-balanced: verify_step 500 / override_wrong_claim 500 / keep 1000 / recompute 500 / retrieve_or_abstain 500),gsm_repair_v4/generate_gsm.py + convert_gsm.py,gsm_repair_v4/evaluate_gsm.py,MIT-derived (GSM8K) + self-generated traces,archive_analysis_only (C-26: old GSM training data must not auto-mix into new training),synthetic repair traces; families overlap freely with later pools (predates frozen partition); shortcut gate passed (claim-masked 0.507) but design superseded by prescription line
probes_suite_gsm,/Users/bytedance/atomic-repair-sft/probes/data,9edf0bc5e7299e0c (base_O.jsonl),reasoning,diagnostic probe suite O/P/S/R/C/W1/W2/F (failure-profile classification),single probe split per type,O 1481 / F 1481 / W2 1480 / W1 1298 / P 1305 / C 1205 / S 886 / R 443,probes/build_probes.py (pool: GSM8K test 1300 + GSM-hard hard bucket 569),probes/profile_classify.py,MIT-derived (GSM8K/GSM-hard),in_domain_eval (base-profile diagnostic),GSM-hard bucket has no step annotations (only O/P/W2/F buildable there); heavy validator drops (S_leak_drop 1094; R only 443); P/R are model-generated (paraphrase/rule) not human
loop3_component_pools,/Users/bytedance/atomic-repair-sft/loop3/pools,a28abe63788d4fc7 (format.jsonl),reasoning,behavior component pools (conduct/format/phrasing/scaffold/rule/drills) + replay carrier,one pool file per component,conduct 2200 / format 2200 / phrasing 2200 / scaffold 1606 / rule 1125 / drills 2200 / replay 4400,loop3/gen_components.py,loop3/eval_arms.py + genre_eval.py + score_batch1.py,MIT-derived (GSM8K),archive_analysis_only (superseded by lawv1 formal pools),high invalid rates at generation (scaffold 1394 / rule 1875 / phrasing 538 dropped); families drawn pre-partition -> collide with formal pools
loop3_arms,/Users/bytedance/atomic-repair-sft/loop3/arms,5dab1df1c72ae42f (arm_A1.json),reasoning,composed SFT arms (A1/B/C/D + single-component + dose arms fmt10/20/36 drl10/25 scafffmt),17 arm files + manifest.json + manifest_b2.json,600-2000 rows per arm (A1 1782 / B 1718 / C 2000 / D 1618 / singles 600),loop3/compose_arms.py + compose_batch2.py,loop3/eval_arms.py,MIT-derived (GSM8K),archive_analysis_only (batch-1/2 harvest done; recipes frozen in CL-5/CL-6),pre-partition families; alpaca format instruction fixed - reuse would leak old instruction phrasing into new arms
gate1_prototype,/Users/bytedance/atomic-repair-sft/prescription/gate1,c7dc43e712306d10 (train_proto.jsonl) / 6c5c9e2b9c9625a8 (eval_proto.jsonl),reasoning,4-component prototype train pool + 13-condition eval protocol,train_proto 800 (4x200) / eval_proto 518 (50-family main pool + 26 insufficient subset),50 eval families; 800 train rows,prescription/gate1/build_gate1.py (gate1-v1.2),prescription/lawv1_score.py,MIT-derived (GSM8K),calibration_only (prototype; formal pools re-drawn from frozen partition),prototype pools drew pre-partition (formal_assets_manifest: prototype/formal collisions within-component only); insufficient-condition audit shows label brittleness (TRAIN_INSUF_AUDIT)
lawv1_formal_assets,/Users/bytedance/atomic-repair-sft/prescription/lawv1,21b63f7d3f4e3994 (carrier_formal.json) / 73cbb5ad1f7248d0 (format_pool_formal.jsonl),reasoning,formal dose-response assets: clean-replay carrier + format component pool + dose arms,carrier 2000 / format_pool 2000 / reserved_queueD 2817 families / smoke arms (SMK-PLAC-0000 600 SMK-FMT-0060 645 SMK-FMT-0200 747) / formal FMT dose grid per dose_manifest_format.json,2000 carrier + 2000 format + 2817 reserved families (overlap carrier-format = 0; eval_family_leak = 0),prescription/lawv1/build_formal_assets.py + build_formal_arms.py + build_smoke_arms.py,prescription/lawv1_score.py,MIT-derived (GSM8K),component_training (format) + clean_replay (carrier) - CURRENT,reserved_queueD 2817 families < 3 components x target sizes (explicit unresolved queue-D decision); only the FORMAT component has a formal pool so far - evidence/revision/answerability formal pools not yet built
p2a_component_pools,/Users/bytedance/atomic-repair-sft/prescription/data/p2a,c23694c776ba58ef (d1_format_2000.json),reasoning,C-18 component library D0 replay / D1 format / D2 verification / D3 revision / D5 provenance-conflict / D6 abstention,doses 60/600/2000 per component (18 files + dataset_info),2000 rows max per component,prescription/d_components.py,prescription/lawv1_score.py + p1_eval.py,MIT-derived (GSM8K),component_training (candidate pools for evidence/revision/answerability grids),GSM-only (C-26 forbids generating Knowledge/IF components from GSM8K - these count only for Reasoning); family provenance predates lawv1 frozen partition - leak recheck against carrier/format/eval families required before formal use
d4_conditional_pools,/Users/bytedance/atomic-repair-sft/prescription/data/d4,5afbd575188d617c (d4_bal_2000.json),reasoning,D4 selective-revision (keep vs override) conditional pools,d4_bal 300/600/2000 / d4_3way 600/1998 / pure_keep 600 / pure_override 600,2000 rows max,prescription/d4_build.py,prescription/lawv1_score.py + p1_eval.py,MIT-derived (GSM8K),component_training (candidate; revision component),same partition-provenance caveat as p2a; pure_keep/pure_override arms are degenerate-by-design (calibration probes not training recipes)
factorial_families,/Users/bytedance/atomic-repair-sft/prescription/data/factorial_families.jsonl,917cdbfcd25601c2,reasoning,factorial eval families (id/gold/cells),single file,400 families,prescription/p0b_factorial.py,prescription/p0c_eval.py / p1_eval.py,MIT-derived (GSM8K),calibration_only,eval instrument only; do not mix into training
data_v0_repair,/Users/bytedance/atomic-repair-sft/data,0cdf2cb66fe46fb2 (repair_lf_train.json),reasoning,atomic repair SFT v0 (LLM-Physics style),train 2100 / eval 550,2100,generate_repair_data.py + convert_to_llamafactory.py,evaluate_predictions.py,self-generated synthetic,archive_analysis_only,final_answer collapses by design (documented in ANALYSIS_full_ft_v0); superseded
data_v1_known_component,/Users/bytedance/atomic-repair-sft/data_v1,fc7a555f4c520ef2 (repair_v1_C_train.json),reasoning,known-component repair conditions A/B/C/D,B_train 304 / C_train 2404 / D_train 2404 / eval 550 per condition / fact_eval 32,2404,generate_repair_data.py v1 line + convert_to_llamafactory_v1.py,evaluate_predictions_v1.py + fact_qa_gate_v1.py,self-generated synthetic,archive_analysis_only,superseded by v2+; fact_eval only 32 items
data_v2_nine_capacities,/Users/bytedance/atomic-repair-sft/data_v2,2546fe85082bc692 (repair_train.jsonl),reasoning,9 atomic capacities repair (CoT / Skill+CoT),train 2000 / eval 600 + inject + zeroshot baselines,2000,generate_v2.py + convert_v2.py,evaluate_v2.py,self-generated synthetic,archive_analysis_only,skill conclusion OVERTURNED by v2.1 ablations - do not cite without v2.1 correction
data_v2_1_ablations,/Users/bytedance/atomic-repair-sft/data_v2_1,fe0c67f00fd2c30a (actionized_lf_train.json),reasoning,actionized-CoT vs decision vs CoT ablations,train 2000 x3 variants / eval 600 / prefix probes,2000,convert_v2_1.py,evaluate_v2_1.py,self-generated synthetic,archive_analysis_only,failure mode = false-keep; conclusions folded into paper - data itself superseded
data_v3_scenario,/Users/bytedance/atomic-repair-sft/data_v3,00d49190536edbc2 (repair_train.jsonl),reasoning,scenario-repair answer-update policy (7 policies),train 2200 / eval 600,2200,scenario_repair_v3/generate_v3.py + convert_v3.py,scenario_repair_v3/evaluate_v3.py,self-generated synthetic,archive_analysis_only,abstain-judge erratum documented (ERRATUM_abstain_judge.md); superseded by v3.1
data_v3_1_decoupled,/Users/bytedance/atomic-repair-sft/data_v3_1,d46571cc91d834a1 (repair_train.jsonl),reasoning,v3.1 decoupling-hardened scenario repair,train 2640 / eval 720,2640,scenario_repair_v3 pipeline (v3.1 flags),scenario_repair_v3/evaluate_v3.py + shortcut_audit.py,self-generated synthetic,archive_analysis_only,superseded by GSM real-domain port (data_v4)
data_tier2_learnability,/Users/bytedance/atomic-repair-sft/data_tier2,a8abda5dc56e2e0e (tier_a_train.json),reasoning (synthetic invented-ops),procedure learning on invented operations flurm/zorp/quilt/brame (depth 0-3),per tier: train 2000 / eval_id 500 / eval_ood 500; + tier_b poison10/poison30,2000 per tier x4,learnability_family/generate.py + ops.py,learnability_family/race_eval.py + gate_clean.py + gate_token_audit.py,self-generated synthetic,calibration_only (learnability / poison-dose instrument),not a natural-language domain - must not be counted as Reasoning/Knowledge/IF component data; poison subsets are recall-construct calibration only
data_bend_learnability,/Users/bytedance/atomic-repair-sft/data_bend,3eb3a63e9a54ff37 (bend_e_train.json),reasoning (synthetic invented-ops),invented ops snerv/plok/trewb (depth 5/2/1) + probe evals + poison10,per op: train 2000 / eval_id 500 / eval_ood 500 + probe jsonl,2000 per op x3,learnability_family/generate_bend.py,learnability_family/race_eval.py,self-generated synthetic,calibration_only,same as data_tier2; race_summary already harvested
gsmic_raw,/Users/bytedance/atomic-repair-sft/naturalset/raw/GSM-IC_2step.json,0a8c2ae7991feeef,reasoning,GSM-IC irrelevant-context math (distractor sentence inserted),single file (2-step subset),34220,downloaded raw (sampled by naturalset/sample.py),none yet,public research release (Shi et al. 2023 GSM-IC),component_training candidate (Reasoning evidence/distractor robustness) + in_domain_eval,2-step-problems subset only; distractors are irrelevant noise not wrong values (neighbour of W1 construct); raw/ is gitignored - file exists only locally
wiki2_2wikimultihopqa_raw,HF framolfese/2wikimultihopqa (NOT in local HF cache; downloaded server-side by wiki2/build_2wiki.py),no local file (streaming check 2026-08-06: splits train/validation/test; fields id/question/answer/type/evidences/supporting_facts/context),knowledge,multi-hop factual QA (compositional/comparison/inference/bridge-comparison) with evidence triples + supporting passages,train/validation/test (builder uses validation only; takes first 2400 usable of ~12.6k after >=2-evidence filter),2400 used: 800 eval/screen pool + 1500 train pool (seed 42 shuffle),wiki2/build_2wiki.py (screen/genp/build),wiki2/build_2wiki.py score (contains matchfn),Apache-2.0 (2WikiMultihopQA),component_training + in_domain_eval (isolated family splits) - designated Knowledge main dataset (C-26),raw data not cached locally (server-only); builder uses ONLY evidences triples - supporting_facts and context passages are available in source but unused (needed for C-26 Knowledge evidence/answerability components); ~10k validation items unused; entity-level overlap between the 800/1500 pools not audited (same entity can appear in both)
wiki2_cell_data,/Users/bytedance/atomic-repair-sft/wiki2/data,c65b615c903661f4 (pred_Qwen3-8B.jsonl) / c54da1391a9e64ce (scores_2wiki.json),knowledge,B1 validation-cell outputs: predictions (12 ckpt/arm files) + scores + knowledge-tax audit,pred files + scores_2wiki.json + knowledge_tax_per_item.csv (318 rows),repair-genre eval n=376; profile ~371 O items,wiki2/build_2wiki.py,wiki2/build_2wiki.py score,Apache-2.0-derived,in_domain_eval (harvested results) / archive_analysis_only (preds),probes.jsonl / repair_eval / arm files NOT in repo and NOT local - they exist only on the server; local dir cannot regenerate identical arms without re-running server pipeline (paraphrase P is model-generated)
stratqa_raw_hf,~/.cache/huggingface/hub/datasets--ChilleD--StrategyQA,82262246f9f669cc,knowledge,implicit multi-hop yes/no QA with decomposition facts,train/test,train 1603 / test 687,stratqa/build_stratqa.py load_sqa,stratqa/build_stratqa.py score (boolean),MIT (StrategyQA AI2; ChilleD mirror),cross_dataset_holdout (Knowledge; C-26),answer is boolean - not numerically verifiable; 50% guess floor compresses effect sizes; facts field = short handwritten sentences NOT retrieved supporting passages; no paragraph evidence available
stratqa_cell_g4,/Users/bytedance/atomic-repair-sft/stratqa/data,2bf331836ae2e62f (probes.jsonl),knowledge,probe suite O/W/F + repair-genre eval + 4 SFT arms + W-construct audit sample,probes 1993 / repair_eval 300 / arms 4x600 / audit_sample 100,~660 base items -> 1993 probe rows; 300 repair,stratqa/build_stratqa.py,stratqa/build_stratqa.py score -> scores_stratqa.json,MIT-derived,cross_dataset_holdout eval instrument,W injection = heuristic negation of a chain fact planted as "reliable sources" note - brittle by construction (frozen gate: audit <70% -> W column UNTESTED); P probe dropped and abstain N/A in boolean domain; arms g4_* trained on StrategyQA train - conflicts with pure-holdout role (same caveat as SVAMP)
