family_id,status,removed_variable,variable_type,dependency_path,note
gsm_train_01699,PASS,10,count,2*10 -> 20+10+15 -> final,audited: grammatical; deletion necessary; not recoverable
gsm_train_04137,PASS,4,count,12+4 -> final,audited: grammatical; deletion necessary; not recoverable
gsm_train_06731,PASS,3,count,25+3 -> final,audited: grammatical; deletion necessary; not recoverable
gsm_train_06327,PASS,480,count,480*10/100 -> 480*20/100 -> 480-144 -> final,audited: grammatical; deletion necessary; not recoverable
gsm_train_04394,PASS,75,count,75-15 -> final,audited: grammatical; deletion necessary; not recoverable
gsm_train_06869,PASS,15,count,15-5 -> final,audited: grammatical; deletion necessary; not recoverable
gsm_train_04865,FIXED,"50,000",count,50000-30000 -> final,sentence-initial capitalization; re-audited PASS
gsm_train_05727,PASS,6,count,9*6 -> 54+213+6 -> final,audited: grammatical; deletion necessary; not recoverable
gsm_train_02886,PASS,318,count,318/2 -> 318+177 -> final,audited: grammatical; deletion necessary; not recoverable
gsm_train_04492,PASS,$13,price,13*2 -> final,audited: grammatical; deletion necessary; not recoverable
gsm_train_06296,PASS,16,count,16/2 -> 5*16 -> final,audited: grammatical; deletion necessary; not recoverable
gsm_train_07158,PASS,15,count,15*2 -> final,audited: grammatical; deletion necessary; not recoverable
gsm_train_02560,PASS,$150,price,150*2/100 -> 150+3 -> final,audited: grammatical; deletion necessary; not recoverable
gsm_train_03387,PASS,250,count,750+250 -> final,audited: grammatical; deletion necessary; not recoverable
gsm_train_01769,PASS,30,count,30/2 -> 30-21 -> final,audited: grammatical; deletion necessary; not recoverable
gsm_train_01355,PASS,6,count,6*40 -> final,audited: grammatical; deletion necessary; not recoverable
gsm_train_01748,PASS,60,count,60/3 -> final,audited: grammatical; deletion necessary; not recoverable
gsm_train_05128,PASS,100,count,100*.8 -> final,audited: grammatical; deletion necessary; not recoverable
gsm_train_04845,PASS,$30,price,30+60 -> 30+30+90 -> final,audited: grammatical; deletion necessary; not recoverable
gsm_train_01227,PASS,85,count,85-5 -> final,audited: grammatical; deletion necessary; not recoverable
gsm_train_04997,PASS,60,count,60/2 -> final,audited: grammatical; deletion necessary; not recoverable
gsm_train_01248,PASS,24,count,24/2 -> final,audited: grammatical; deletion necessary; not recoverable
gsm_train_03885,PASS,3,count,3*13 -> final,audited: grammatical; deletion necessary; not recoverable
gsm_train_02164,PASS,24,count,24-6 -> final,audited: grammatical; deletion necessary; not recoverable
gsm_train_02613,PASS,$87,price,87-61 -> final,audited: grammatical; deletion necessary; not recoverable
gsm_train_05816,PASS,$30,price,8*30 -> final,audited: grammatical; deletion necessary; not recoverable
gsm_train_05963,PASS,$425,price,425*2 -> final,audited: grammatical; deletion necessary; not recoverable
gsm_train_07126,PASS,$100,price,100-30 -> 100+70 -> 170*10/100 -> final,audited: grammatical; deletion necessary; not recoverable
gsm_train_01100,PASS,7,count,7*6 -> final,audited: grammatical; deletion necessary; not recoverable
gsm_train_03761,PASS,14,count,14*2 -> 224-14 -> final,audited: grammatical; deletion necessary; not recoverable
gsm_train_04190,PASS,$200,price,200/2 -> final,audited: grammatical; deletion necessary; not recoverable
gsm_train_03342,PASS,80,count,2.5*80 -> 200+80 -> final,audited: grammatical; deletion necessary; not recoverable
gsm_train_01736,PASS,12,count,12/3 -> final,audited: grammatical; deletion necessary; not recoverable
gsm_train_01848,PASS,12,count,12*3 -> 12+36+12 -> final,audited: grammatical; deletion necessary; not recoverable
gsm_train_05115,PASS,40,count,20*40 -> 52-40 -> final,audited: grammatical; deletion necessary; not recoverable
gsm_train_02103,PASS,40,count,40*40 -> final,audited: grammatical; deletion necessary; not recoverable
gsm_train_00726,PASS,25,count,25-10 -> final,audited: grammatical; deletion necessary; not recoverable
gsm_train_04191,PASS,20,count,20-8 -> 20+32+16 -> final,audited: grammatical; deletion necessary; not recoverable
gsm_train_01525,PASS,200,count,200/2 -> final,audited: grammatical; deletion necessary; not recoverable
gsm_train_06544,PASS,$100,price,100+20 -> final,audited: grammatical; deletion necessary; not recoverable
gsm_train_04861,PASS,18,count,18*0.5 -> final,audited: grammatical; deletion necessary; not recoverable
