run_id,model,component,dose,seed,dataset,q_d,max_steps,data_hash,config_hash,eval_hash_current,scorer_hash,eval_note
FMT-0000-S42,Qwen3-8B,placebo,0,42,lawv1_FMT-0000,0.0,30,a9225cd69c3a8d26,74475808adf0ee37,6c5c9e2b9c9625a8,ba135f1b2e87e25c,scored now on frozen 518-row eval; will be re-scored on eval-500 when frozen (both reported)
FMT-0000-S43,Qwen3-8B,placebo,0,43,lawv1_FMT-0000,0.0,30,a9225cd69c3a8d26,74475808adf0ee37,6c5c9e2b9c9625a8,ba135f1b2e87e25c,scored now on frozen 518-row eval; will be re-scored on eval-500 when frozen (both reported)
FMT-0000-S44,Qwen3-8B,placebo,0,44,lawv1_FMT-0000,0.0,30,a9225cd69c3a8d26,74475808adf0ee37,6c5c9e2b9c9625a8,ba135f1b2e87e25c,scored now on frozen 518-row eval; will be re-scored on eval-500 when frozen (both reported)
FMT-0030-S42,Qwen3-8B,format,30,42,lawv1_FMT-0030,0.00182,30,775db2ce06ce573d,74475808adf0ee37,6c5c9e2b9c9625a8,ba135f1b2e87e25c,scored now on frozen 518-row eval; will be re-scored on eval-500 when frozen (both reported)
FMT-0060-S42,Qwen3-8B,format,60,42,lawv1_FMT-0060,0.00363,30,61cf0fccd87caaeb,74475808adf0ee37,6c5c9e2b9c9625a8,ba135f1b2e87e25c,scored now on frozen 518-row eval; will be re-scored on eval-500 when frozen (both reported)
FMT-0120-S42,Qwen3-8B,format,120,42,lawv1_FMT-0120,0.00725,30,f3dcc7a9d2b4afc9,74475808adf0ee37,6c5c9e2b9c9625a8,ba135f1b2e87e25c,scored now on frozen 518-row eval; will be re-scored on eval-500 when frozen (both reported)
FMT-0120-S43,Qwen3-8B,format,120,43,lawv1_FMT-0120,0.00725,30,f3dcc7a9d2b4afc9,74475808adf0ee37,6c5c9e2b9c9625a8,ba135f1b2e87e25c,scored now on frozen 518-row eval; will be re-scored on eval-500 when frozen (both reported)
FMT-0120-S44,Qwen3-8B,format,120,44,lawv1_FMT-0120,0.00725,30,f3dcc7a9d2b4afc9,74475808adf0ee37,6c5c9e2b9c9625a8,ba135f1b2e87e25c,scored now on frozen 518-row eval; will be re-scored on eval-500 when frozen (both reported)
FMT-0240-S42,Qwen3-8B,format,240,42,lawv1_FMT-0240,0.01461,30,72a9037b3f42d0d2,74475808adf0ee37,6c5c9e2b9c9625a8,ba135f1b2e87e25c,scored now on frozen 518-row eval; will be re-scored on eval-500 when frozen (both reported)
FMT-0480-S42,Qwen3-8B,format,480,42,lawv1_FMT-0480,0.02909,30,b7451426074e29ff,74475808adf0ee37,6c5c9e2b9c9625a8,ba135f1b2e87e25c,scored now on frozen 518-row eval; will be re-scored on eval-500 when frozen (both reported)
FMT-0960-S42,Qwen3-8B,format,960,42,lawv1_FMT-0960,0.05822,30,4d608c0db5238c1f,74475808adf0ee37,6c5c9e2b9c9625a8,ba135f1b2e87e25c,scored now on frozen 518-row eval; will be re-scored on eval-500 when frozen (both reported)
FMT-0960-S43,Qwen3-8B,format,960,43,lawv1_FMT-0960,0.05822,30,4d608c0db5238c1f,74475808adf0ee37,6c5c9e2b9c9625a8,ba135f1b2e87e25c,scored now on frozen 518-row eval; will be re-scored on eval-500 when frozen (both reported)
FMT-0960-S44,Qwen3-8B,format,960,44,lawv1_FMT-0960,0.05822,30,4d608c0db5238c1f,74475808adf0ee37,6c5c9e2b9c9625a8,ba135f1b2e87e25c,scored now on frozen 518-row eval; will be re-scored on eval-500 when frozen (both reported)
FMT-2000-S42,Qwen3-8B,format,2000,42,lawv1_FMT-2000,0.12194,30,8da028a2526a43f8,74475808adf0ee37,6c5c9e2b9c9625a8,ba135f1b2e87e25c,scored now on frozen 518-row eval; will be re-scored on eval-500 when frozen (both reported)
FMT-2000-S43,Qwen3-8B,format,2000,43,lawv1_FMT-2000,0.12194,30,8da028a2526a43f8,74475808adf0ee37,6c5c9e2b9c9625a8,ba135f1b2e87e25c,scored now on frozen 518-row eval; will be re-scored on eval-500 when frozen (both reported)
FMT-2000-S44,Qwen3-8B,format,2000,44,lawv1_FMT-2000,0.12194,30,8da028a2526a43f8,74475808adf0ee37,6c5c9e2b9c9625a8,ba135f1b2e87e25c,scored now on frozen 518-row eval; will be re-scored on eval-500 when frozen (both reported)
