run_id,domain,ckpt,cell,n,floor,epochs,d_raw,F_judge,M,F_parse,D,A_delivered,A_latent,ND,residual,F_floor,n_clean,n_P,n_w,r0,r1,a0,a1,d_a_matched,n_matched,lowpower,d_a_prerepair,n_matched_pre,lowpower_pre,w_source,abs_strict_t,abs_strict_f,parse_rate_t,grey,note
v2:fc:ALL,v2,fc,ALL,600,factonly,3,0.3933,-0.3967,0.0789,0.7111,,,,,0.0,,180,0,,,,,,,,,,0,LOWPOWER,,0.79,0.0,1.0,,no both-parsed clean items; F_parse=d_clean
v2:fc:Clean,v2,fc,Clean,60,factonly,3,0.7667,-0.2333,1.0,,,,,,0.0,,0,,,,,,,,,,,0,LOWPOWER,,1.0,0.0,1.0,,M=UPPER BOUND (no clean items); D/A undefined here
v2:fc:H-Abl,v2,fc,H-Abl,60,factonly,3,0.25,0.0,0.25,,,,,,0.0,,0,,,,,,,,,,,0,LOWPOWER,,0.25,0.0,1.0,,M=UPPER BOUND (no clean items); D/A undefined here
v2:fc:H-Aug,v2,fc,H-Aug,60,factonly,3,0.2333,-0.7333,0.9667,,,,,,0.0,,0,,,,,,,,,,,0,LOWPOWER,,0.9667,0.0,1.0,,M=UPPER BOUND (no clean items); D/A undefined here
v2:fc:H-Cor,v2,fc,H-Cor,60,factonly,3,0.85,-0.1333,0.9833,,,,,,0.0,,0,,,,,,,,,,,0,LOWPOWER,,0.9833,0.0,1.0,,M=UPPER BOUND (no clean items); D/A undefined here
v2:fc:K-Abl,v2,fc,K-Abl,60,factonly,3,0.0167,-0.9833,1.0,,,,,,0.0,,0,,,,,,,,,,,0,LOWPOWER,,1.0,0.0,1.0,,M=UPPER BOUND (no clean items); D/A undefined here
v2:fc:K-Aug,v2,fc,K-Aug,60,factonly,3,-0.15,-0.9667,0.8167,,,,,,0.0,,0,,,,,,,,,,,0,LOWPOWER,,0.8167,0.0,1.0,,M=UPPER BOUND (no clean items); D/A undefined here
v2:fc:K-Cor,v2,fc,K-Cor,60,factonly,3,-0.1667,-0.9167,0.75,,,,,,0.0,,0,,,,,,,,,,,0,LOWPOWER,,0.75,0.0,1.0,,M=UPPER BOUND (no clean items); D/A undefined here
v2:fc:R-Abl,v2,fc,R-Abl,60,factonly,3,1.0,0.0,0.0,1.0,,,,,0.0,,60,0,,,,,,,,,,0,LOWPOWER,,1.0,0.0,1.0,,no both-parsed clean items; F_parse=d_clean
v2:fc:R-Aug,v2,fc,R-Aug,60,factonly,3,0.5667,0.0,0.0,0.5667,,,,,0.0,,60,0,,,,,,,,,,0,LOWPOWER,,0.5667,0.0,1.0,,no both-parsed clean items; F_parse=d_clean
v2:fc:R-Cor,v2,fc,R-Cor,60,factonly,3,0.5667,0.0,0.0,0.5667,,,,,0.0,,60,0,,,,,,,,,,0,LOWPOWER,,0.5667,0.0,1.0,,no both-parsed clean items; F_parse=d_clean
v2:fs:ALL,v2,fs,ALL,600,factonly,3,0.4583,-0.3967,-0.1283,0.9833,,,,,0.0,,180,0,,,,,,,,,,0,LOWPOWER,,0.855,0.0,1.0,,no both-parsed clean items; F_parse=d_clean
v2:fs:Clean,v2,fs,Clean,60,factonly,3,0.7667,-0.2333,1.0,,,,,,0.0,,0,,,,,,,,,,,0,LOWPOWER,,1.0,0.0,1.0,,M=UPPER BOUND (no clean items); D/A undefined here
v2:fs:H-Abl,v2,fs,H-Abl,60,factonly,3,0.2,0.0,0.2,,,,,,0.0,,0,,,,,,,,,,,0,LOWPOWER,,0.2,0.0,1.0,,M=UPPER BOUND (no clean items); D/A undefined here
v2:fs:H-Aug,v2,fs,H-Aug,60,factonly,3,-0.2833,-0.7333,0.45,,,,,,0.0,,0,,,,,,,,,,,0,LOWPOWER,,0.45,0.0,1.0,,M=UPPER BOUND (no clean items); D/A undefined here
v2:fs:H-Cor,v2,fs,H-Cor,60,factonly,3,0.8667,-0.1333,1.0,,,,,,0.0,,0,,,,,,,,,,,0,LOWPOWER,,1.0,0.0,1.0,,M=UPPER BOUND (no clean items); D/A undefined here
v2:fs:K-Abl,v2,fs,K-Abl,60,factonly,3,0.0167,-0.9833,1.0,,,,,,0.0,,0,,,,,,,,,,,0,LOWPOWER,,1.0,0.0,1.0,,M=UPPER BOUND (no clean items); D/A undefined here
v2:fs:K-Aug,v2,fs,K-Aug,60,factonly,3,-0.0167,-0.9667,0.95,,,,,,0.0,,0,,,,,,,,,,,0,LOWPOWER,,0.95,0.0,1.0,,M=UPPER BOUND (no clean items); D/A undefined here
v2:fs:K-Cor,v2,fs,K-Cor,60,factonly,3,0.0833,-0.9167,1.0,,,,,,0.0,,0,,,,,,,,,,,0,LOWPOWER,,1.0,0.0,1.0,,M=UPPER BOUND (no clean items); D/A undefined here
v2:fs:R-Abl,v2,fs,R-Abl,60,factonly,3,1.0,0.0,0.0,1.0,,,,,0.0,,60,0,,,,,,,,,,0,LOWPOWER,,1.0,0.0,1.0,,no both-parsed clean items; F_parse=d_clean
v2:fs:R-Aug,v2,fs,R-Aug,60,factonly,3,0.95,0.0,0.0,0.95,,,,,0.0,,60,0,,,,,,,,,,0,LOWPOWER,,0.95,0.0,1.0,,no both-parsed clean items; F_parse=d_clean
v2:fs:R-Cor,v2,fs,R-Cor,60,factonly,3,1.0,0.0,0.0,1.0,,,,,0.0,,60,0,,,,,,,,,,0,LOWPOWER,,1.0,0.0,1.0,,no both-parsed clean items; F_parse=d_clean
v2:zs_direct:ALL,v2,zs_direct,ALL,600,factonly,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,REF,pre-repair reference; absolute only
v2:zs_direct:Clean,v2,zs_direct,Clean,60,factonly,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,REF,pre-repair reference; absolute only
v2:zs_direct:H-Abl,v2,zs_direct,H-Abl,60,factonly,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,REF,pre-repair reference; absolute only
v2:zs_direct:H-Aug,v2,zs_direct,H-Aug,60,factonly,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,REF,pre-repair reference; absolute only
v2:zs_direct:H-Cor,v2,zs_direct,H-Cor,60,factonly,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,REF,pre-repair reference; absolute only
v2:zs_direct:K-Abl,v2,zs_direct,K-Abl,60,factonly,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,REF,pre-repair reference; absolute only
v2:zs_direct:K-Aug,v2,zs_direct,K-Aug,60,factonly,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,REF,pre-repair reference; absolute only
v2:zs_direct:K-Cor,v2,zs_direct,K-Cor,60,factonly,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,REF,pre-repair reference; absolute only
v2:zs_direct:R-Abl,v2,zs_direct,R-Abl,60,factonly,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,REF,pre-repair reference; absolute only
v2:zs_direct:R-Aug,v2,zs_direct,R-Aug,60,factonly,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,REF,pre-repair reference; absolute only
v2:zs_direct:R-Cor,v2,zs_direct,R-Cor,60,factonly,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,REF,pre-repair reference; absolute only
v2:zs_cot:ALL,v2,zs_cot,ALL,600,factonly,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,REF,pre-repair reference; absolute only
v2:zs_cot:Clean,v2,zs_cot,Clean,60,factonly,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,REF,pre-repair reference; absolute only
v2:zs_cot:H-Abl,v2,zs_cot,H-Abl,60,factonly,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,REF,pre-repair reference; absolute only
v2:zs_cot:H-Aug,v2,zs_cot,H-Aug,60,factonly,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,REF,pre-repair reference; absolute only
v2:zs_cot:H-Cor,v2,zs_cot,H-Cor,60,factonly,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,REF,pre-repair reference; absolute only
v2:zs_cot:K-Abl,v2,zs_cot,K-Abl,60,factonly,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,REF,pre-repair reference; absolute only
v2:zs_cot:K-Aug,v2,zs_cot,K-Aug,60,factonly,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,REF,pre-repair reference; absolute only
v2:zs_cot:K-Cor,v2,zs_cot,K-Cor,60,factonly,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,REF,pre-repair reference; absolute only
