family_id,label,rationale
crepe_train_2018-04951,A,"段2明确给出船上有害物质(石棉/PCB)与拆金属成本可高于废钢价值,支撑candidate核心主张"
crepe_train_2018-13339,B,"段落支持盐危害植物,但candidate核心之一""epsom salt促生长""无任何支撑"
crepe_train_2018-02098,C,"段落讲WirelessHART工业协议与WUSB适配器,与家用AP/网桥问题基本无关"
crepe_train_2018-03438,A,"段2具体描述有无伪装导致被捕食差异,支撑""环境选择""这一自然选择答案"
crepe_train_2018-12205,B,"段1反而给出恐鸟灭绝的具体原因(被真兽类取代),推不出""确切原因未知"""
crepe_train_2018-03717,B,"段1只是志愿者谈""激励一代人"",推不出""国家为荣誉等原因办奥运"""
crepe_train_2018-02371,B,"段落讲反刍动物与口腔消化,推不出""玉米壳完整内部被消化"""
crepe_train_2018-20718,B,"段落讲Wallace事迹与Stewart政局,推不出""当时英格兰苏格兰不是独立国家""(该主张本身亦可疑)"
crepe_train_2018-01600,B,"段2描述配音贴合口型(先画后配),与candidate""先录音后动画""方向相反,推不出"
crepe_train_2018-22268,B,"段落讲奶牛产奶管理,未说明""产奶须先分娩且靠持续挤奶维持"""
crepe_train_2018-03132,A,"段2明确说明规模扩大使单位成本下降,直接支撑candidate的per-unit主张"
crepe_train_2018-02241,B,"段落仅提一款啤酒卖四联包与啤酒节,推不出""IPA各种包装都卖"""
crepe_train_2018-02936,A,"段落给出克隆株/休眠/4万年genet/负衰老,支撑植物寿命与动物本质不同"
crepe_train_2018-00422,B,"段落讲纪录片拍摄准入个案,推不出""无需报案、征得罪犯同意即可拍"""
crepe_train_2018-04377,B,"段落讲需求响应与均价定价,推不出""电力公司靠降成本获利"""
crepe_train_2018-09517,A,"段1原文即""盐通过渗透吸出微生物细胞水分抑制生长"",直接支撑"
crepe_train_2018-00449,A,"段1/段2明确组合机耗时长、不如分体机高效,支撑candidate核心"
crepe_train_2018-09639,C,"段落是唐老鸭动画与蚂蚁恐慌行为,与肥皂水破坏表面张力无关"
crepe_train_2018-21081,A,"段1/段2支持""病毒致病而非携带疾病""且良性病毒可能占多数"
crepe_train_2018-05020,A,"段2原文""neutrinos interact only very rarely with matter"",直接支撑"
crepe_train_2018-03440,A,"段1直接说明口服过量可能在吸收前呕出但常不可靠,支撑""并非必然呕吐"""
crepe_train_2018-00052,A,"段1明确""块状镁难以点燃"",支撑candidate核心(900F具体数字除外)"
crepe_train_2018-03653,A,"段2原文""非营利组织将多余收入返还组织"",直接支撑"
crepe_train_2018-02519,B,"段2支持同尺寸电池特性可不同,但candidate的""装更多化学物质→容量更大""机制无支撑"
crepe_train_2018-00620,B,"段落讲危险模型与survivin抗体,推不出""胸腺在生成前教白细胞"";段2反而暗示细胞间互相激活"
crepe_train_2018-02588,C,"问题是滑雪回转撞旗门,段落是跳台滑雪出发门,同词不同物"
crepe_train_2018-18590,A,"段1列明喉咙痛是感冒症状且暴露后很快出现,支撑""喉咙痛只是感冒首发症状"""
crepe_train_2018-05374,B,"段落只讲日记的写作用途与虚构作品用法,法庭可采性/自证其罪内容完全缺失"
crepe_train_2018-01206,B,"段落讲Portapak与背包新闻史,推不出""某些设备必须保持大尺寸才有功能"""
crepe_train_2018-13161,B,"段1提热致血管扩张但未连到""起身时血压下降致晕"",推不出;且fix侧把真命题当假前提"
crepe_train_2018-11166,B,"段落讲支票签名验证机制,推不出""那是犯罪会坐牢""这一法律后果"
crepe_train_2018-10311,B,"段落是引擎技术演示与NG3D,推不出""逻辑先做完再skinning""的开发流程主张"
crepe_train_2018-11844,A,"段1把轨道运动描述为惯性运动/自由落体(近零本征加速度),支撑""没有反抗力"""
crepe_train_2018-15985,B,"段落讲舞台妆更浓与CGI之争,candidate的setting spray/难蹭掉无支撑"
crepe_train_2018-03977,B,"段2直接反证:剪刀发明前人们用小刀修剪指甲,candidate""无需修剪""被段落否定却标KEEP"
crepe_train_2018-01639,B,"段2直接反证:罗马人将合金熔成液态金属倒入冷水,""罗马熔金""并非假前提却被当假前提FIX"
crepe_train_2018-00757,B,"段2讲恶意QR借阅读器权限作恶(明言无软件漏洞情形),推不出""QR能存病毒只是空间不够"""
crepe_train_2018-00848,C,"段落是""不可能物体""错觉与物体的物理定义,与物体为何自己掉落无关"
crepe_train_2018-05713,A,段落直接支撑:皮肤印痕/生物分子提供线索、颜色复原目前不可能需推断
crepe_train_2018-04792,C,"顾问反例:段落是糖果口味清单,与cherry limeade饮品搭配问题无关"
crepe_train_2018-02004,B,"段1直接反证:极端冷热加重疾病提高死亡率,candidate""冷天气不影响健康""被否定却标KEEP"
crepe_train_2018-04713,B,"段落给颜料/散射背景知识,但candidate""液层折光致观感变化""推不出"
crepe_train_2018-01822,B,"段1反证:2°C阈值自增强反馈风险,candidate""升温1度没多大影响""被否定却标KEEP"
crepe_train_2018-08721,C,"段落是潜水钟操作与灭火器参数,与软管接头为何不崩飞基本无关"
crepe_train_2018-04057,B,"段落讲桥跳致死与浅水跳水事故,推不出""职业跳水者靠技巧高处入水免伤"""
crepe_train_2018-14327,B,"段落讲肌红蛋白呈色与PSE肉,推不出""彩虹光泽源于切割方向"";段2还把异常色与品质挂钩"
crepe_train_2018-02457,B,"段落讲电解质失衡/水中毒,推不出""约10分钟吸收+饮水感觉带来即时解渴感"""
crepe_train_2018-17242,B,"段落讲柠檬/酸橙分类与杂交起源,推不出""植物可扦插繁殖不必种子"""
crepe_train_2018-01339,C,"段落是Mising字母命名与四字神名书写禁忌,与人名转写问题基本无关"
crepe_train_2018-18239,C,"段落是1437白兰地记载与玻璃起源传说,与""玻璃是液体""神话无关"
