family_id,verdict,reason
gsm_train_02384,PASS,
gsm_train_01791,PASS,
gsm_train_04634,PASS,
gsm_train_07117,PASS,
gsm_train_03844,PASS,
gsm_train_02691,PASS,
gsm_train_04749,PASS,
gsm_train_04508,PASS,
gsm_train_01705,PASS,
gsm_train_04302,PASS,
gsm_train_04911,PASS,
gsm_train_01728,PASS,
gsm_train_04863,PASS,
gsm_train_00965,PASS,
gsm_train_06705,PASS,
gsm_train_00812,PASS,
gsm_train_03336,PASS,
gsm_train_04170,PASS,
gsm_train_04284,PASS,
gsm_train_03275,PASS,
gsm_train_00707,PASS,
gsm_train_04464,REJECT,"病句""an unspecified amount worth of food""缺所有格;同""amount dollars""类残渣"
gsm_train_01996,PASS,
gsm_train_00538,PASS,
gsm_train_00094,PASS,
gsm_train_00204,PASS,
gsm_train_03580,PASS,
gsm_train_01724,REJECT,"病句""one fourth of her an unspecified number of stamps""限定词冲突her+an"
gsm_train_02711,PASS,
gsm_train_01748,PASS,
gsm_train_06080,PASS,
gsm_train_02907,PASS,
gsm_train_01098,PASS,
gsm_train_01987,PASS,
gsm_train_05873,REJECT,"另一合理解读可绕过:""equal number of boys and girls""读作男=女→56女→每班28"
gsm_train_01946,PASS,
gsm_train_03079,PASS,
gsm_train_05627,PASS,
gsm_train_02393,PASS,
gsm_train_03731,REJECT,删的不是必要变量:比例结构使u消去(6u+u)/(u/2)=14恒成立
gsm_train_01483,PASS,
gsm_train_03404,PASS,
gsm_train_04599,PASS,
gsm_train_04572,REJECT,"病句""every an unspecified number of hours""限定词冲突every+an"
gsm_train_01850,PASS,
gsm_train_01174,PASS,
gsm_train_02412,PASS,
gsm_train_02136,PASS,
gsm_train_04869,PASS,
gsm_train_00351,PASS,
gsm_train_00465,PASS,
gsm_train_04212,PASS,
gsm_train_03677,PASS,
gsm_train_04404,PASS,
gsm_train_06552,PASS,
gsm_train_02003,REJECT,"病句""their an unspecified number of predicteds holiday shoppers""限定词冲突且predicteds残渣"
gsm_train_02481,PASS,
gsm_train_00931,PASS,
gsm_train_03187,REJECT,"病句""an unspecified number of suns salutation""错误复数化suns"
gsm_train_07375,PASS,
gsm_train_02850,PASS,
gsm_train_00182,PASS,
gsm_train_06554,PASS,
gsm_train_02027,PASS,
gsm_train_03811,PASS,
gsm_train_04161,PASS,
gsm_train_06613,PASS,
gsm_train_03146,PASS,
gsm_train_00823,PASS,
gsm_train_06946,PASS,
gsm_train_00825,PASS,
gsm_train_01972,PASS,
gsm_train_05253,PASS,
gsm_train_03620,PASS,
gsm_train_05458,PASS,
gsm_train_05454,PASS,
gsm_train_00483,PASS,
gsm_train_05411,PASS,
gsm_train_04992,PASS,
gsm_train_01198,PASS,
gsm_train_05985,PASS,
gsm_train_00556,PASS,
gsm_train_01045,PASS,
gsm_train_05747,PASS,
gsm_train_05021,PASS,
gsm_train_04957,PASS,
gsm_train_03288,PASS,
gsm_train_00073,PASS,
gsm_train_01639,PASS,
gsm_train_07418,PASS,
gsm_train_05551,PASS,
gsm_train_00533,PASS,
gsm_train_03964,PASS,
gsm_train_05263,PASS,
gsm_train_05057,PASS,
gsm_train_00100,PASS,
gsm_train_00013,PASS,
gsm_train_02639,PASS,
gsm_train_05161,PASS,
gsm_train_00079,PASS,
gsm_train_04988,PASS,
gsm_train_04578,PASS,
gsm_train_04372,PASS,
gsm_train_06630,PASS,
gsm_train_02370,PASS,
