domain,dataset,role,isolation_notes
reasoning,gsm8k-train (parsed cache 7377),component_training,families governed by frozen lawv1 partition (formal_assets_manifest seed 20260813: format 2000 / carrier 2000 / reserved_queueD 2817); new component pools MUST draw only from reserved_queueD; p2a/d4 pools need leak recheck against this partition before formal use
reasoning,gsm8k-train (carrier_formal 2000),clean_replay,carrier families disjoint from format pool (family_overlap_carrier_format=0) and from eval families (eval_family_leak=0); carrier_sha256 21b63f7d3f4e3994 frozen
reasoning,gsm8k-test (1300),in_domain_eval,eval families never enter any train pool (asserted per build); gate1/lawv1 main eval pool = 50 families from test split (main_pool.json seed 20260812); keep test-split families permanently out of reserved_queueD draws
reasoning,svamp (700/300),cross_dataset_holdout,C-26: SVAMP is a Reasoning holdout NOT a second domain; caveat: g3 arms were trained on SVAMP train during C-16 - for the formal law SVAMP must be eval-only and g3-trained ckpts excluded from holdout claims
reasoning,gsm-ic raw (34220),component_training,candidate source for Reasoning evidence/distractor component; must self-partition (original_question-level isolation - multiple distractor variants share one base problem); check overlap with GSM8K train families before mixing (GSM-IC is built FROM GSM8K - family collision with carrier/format/eval pools is certain and must be resolved by base-question id)
reasoning,probes/data suite (O/P/S/R/C/W1/W2/F),in_domain_eval,diagnostic base-profile instrument on GSM8K test + GSM-hard; eval-only - never train on probe rows
reasoning,lawv1 format_pool_formal (2000),component_training,CURRENT format component; drawn from frozen partition; dose arms via build_formal_arms.py with per-arm data_sha256 in dose_manifest_format.json
reasoning,p2a component pools (D0-D6),component_training,candidate pools for verification/revision/provenance/abstention grids; GSM-only so they count ONLY toward Reasoning components (C-26 ban on GSM-generated Knowledge/IF components); require family-leak recheck vs lawv1 partition
reasoning,d4 conditional pools,component_training,selective-revision candidate; same partition recheck as p2a; pure_keep/pure_override files are calibration probes not recipes
reasoning,factorial_families (400),calibration_only,eval instrument for factorial conditions; never in training
reasoning,gate1 prototype (train_proto 800 / eval_proto 518),calibration_only,prototype drew pre-partition; used to freeze scorer + conditions; do not mix rows into formal arms (prototype/formal collisions are within-component only per manifest)
reasoning,loop3 pools + arms,archive_analysis_only,batch-1/2 harvest complete (CL-5/CL-6 frozen); pre-partition families - reuse would break lawv1 isolation
reasoning,data_v0/v1/v2/v2_1/v3/v3_1 + data_v4 repair line,archive_analysis_only,historical scenario-repair versions; conclusions harvested into paper; do not auto-mix (C-26)
reasoning,data_tier2 + data_bend (invented ops),calibration_only,learnability/poison-dose instruments on synthetic ops; not a natural domain - excluded from the 3-domain recipe
knowledge,2wiki validation train-pool (1500 families),component_training,family split by seed-42 shuffle within validation split (disjoint id sets vs 800 eval pool); TODO before formal freeze: audit entity-level overlap between the two pools and reserve document/passage isolation for evidence/answerability components (context passages available but unused so far)
knowledge,2wiki validation eval-pool (800 screen),in_domain_eval,knownness gate: only contains-correct items enter O denominator (~371); repair-genre eval n=376; keep this pool permanently out of any Knowledge component pool
knowledge,strategyqa (1603/687),cross_dataset_holdout,Knowledge external holdout (C-26); boolean gold - report with guess-floor caveat; g4 arms trained on StrategyQA train during C-16 - formal law must treat StrategyQA as eval-only and exclude g4-trained ckpts from holdout claims; W column subject to frozen audit gate (<70% construct pass -> UNTESTED)
knowledge,kcor_real (LAMA/T-REx),component_training,candidate for knowledge_revision/evidence pools AFTER regeneration (data absent locally); generator asserts subject-entity-disjoint splits and (relation-subject) uniqueness - regenerated artifact must persist leak_flags_eval.jsonl as proof
knowledge,nq-swap (dev 4746),component_training,candidate for knowledge_evidence (conflict) pool; single split - self-partition at question level with no question shared across train/eval; alternatively hold out entirely as Knowledge conflict eval
knowledge,rgb en/en_int (300/100),cross_domain_eval,retrieval-noise robustness column (P-NS-2 blind spot); too small for training - eval only
general_if,naturalset_v1 (200),calibration_only,probe-construct external-validity instrument; no SFT targets; overlap50 double-annotation held out for kappa; never train
general_if,crepe (3462/2000/3004),component_training,candidate for if_revision (gold corrections) + if_answerability (false-presupposition detection) + reading comprehension (passages); native train/val/test splits - keep question-level isolation; test split already partially consumed by naturalset sampling (50 ids) - exclude those ids from any future eval
general_if,crepe (validation 2000),in_domain_eval,use validation as IF in-domain eval if train is used for components; freeze id list before training
general_if,falseqa test.csv (1374),component_training,candidate for if_answerability/abstain pool; only test split present - download train/dev before splitting or self-partition 1374 with question-level isolation; 30 ids consumed by naturalset - exclude from eval
general_if,sycophancy-eval answer (7267),component_training,candidate for if_evidence (social-pressure wrong claim) pool; filter to items with verifiable gold; 30 ids consumed by naturalset - exclude from eval; keep prompt-template phrasings disjoint between train and eval
general_if,sycophancy philpapers (9867),archive_analysis_only,opinion-only - no verifiable gold; excluded by design
general_if,if_{clean_replay/format/evidence/revision/answerability} pools,component_training,DO NOT EXIST YET - C-26 gap: no extraction / classification / rewriting / reading-comprehension / constraint-following / structured-response training data anywhere in repo; must be built (CREPE/FalseQA/sycophancy cover evidence+revision+answerability sources; format/clean-replay/extraction/classification sources still unsourced)
